split,thread_id,source_path,thread_length,nonempty_turns,empty_turns,event_instances,event_groups,event_types,request_action_instances,deliver_action_data_instances,amend_instances,has_later_action_after_request,lexical_request_turns,lexical_commitment_turns,lexical_deadline_turns,lexical_completion_turns,lexical_cancel_turns,lexical_modify_turns,lexical_reject_turns,lexical_confirm_turns,raw_segments,raw_participant_count,raw_has_date
train,beck-s_inbox630,data/train/beck-s_inbox630.json,4,4,0,3,3,Deliver_Action_Data;Request_Action;Request_Data,1,1,0,0,0,0,0,0,0,0,0,0,4,17,0
train,beck-s_inbox647,data/train/beck-s_inbox647.json,3,3,0,3,2,Deliver_Data,0,0,0,0,0,1,1,0,0,0,1,0,3,14,0
train,beck-s_inbox668,data/train/beck-s_inbox668.json,3,3,0,11,7,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,1,2,0,0,2,0,0,1,0,0,0,0,3,14,0
train,beck-s_inbox750,data/train/beck-s_inbox750.json,3,3,0,3,3,Deliver_Action_Data;Deliver_Data;Request_Action_Data,0,1,0,0,1,0,0,0,0,0,0,1,3,7,0
train,beck-s_inbox973,data/train/beck-s_inbox973.json,2,2,0,8,4,Deliver_Action_Data;Deliver_Meeting_Data;Request_Meeting,0,5,0,0,1,2,1,0,0,0,1,0,2,14,0
train,blair-l_inbox143,data/train/blair-l_inbox143.json,2,2,0,7,5,Amend_Meeting_Data;Deliver_Action_Data;Deliver_Meeting_Data;Request_Action,2,2,1,0,1,1,1,0,0,0,0,0,2,27,0
train,blair-l_inbox204,data/train/blair-l_inbox204.json,3,3,0,8,5,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,1,5,0,1,2,0,0,1,0,0,0,1,3,6,0
train,blair-l_inbox216,data/train/blair-l_inbox216.json,2,2,0,8,5,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action,2,5,0,0,1,0,1,1,0,0,0,0,2,19,0
train,blair-l_inbox257,data/train/blair-l_inbox257.json,4,4,0,9,8,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,1,3,0,1,4,0,0,2,0,0,2,1,4,10,0
train,blair-l_inbox268,data/train/blair-l_inbox268.json,2,1,1,1,1,Deliver_Data,0,0,0,0,0,0,0,1,0,0,0,0,2,15,0
train,blair-l_inbox277,data/train/blair-l_inbox277.json,2,2,0,11,4,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data,0,6,0,0,0,0,0,0,0,1,0,0,2,21,0
train,blair-l_inbox278,data/train/blair-l_inbox278.json,4,4,0,9,8,Amend_Data;Deliver_Data;Request_Action;Request_Data,1,0,3,1,3,0,1,1,0,1,0,1,4,33,0
train,blair-l_inbox287,data/train/blair-l_inbox287.json,3,3,0,9,5,Deliver_Action_Data;Deliver_Data;Request_Action,2,6,0,0,2,1,0,0,0,0,0,1,3,14,0
train,blair-l_inbox288,data/train/blair-l_inbox288.json,3,3,0,10,6,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Data,2,5,0,1,2,0,0,1,0,0,0,1,4,11,0
train,blair-l_inbox303,data/train/blair-l_inbox303.json,2,2,0,5,3,Deliver_Action_Data;Request_Action,1,4,0,0,1,1,0,0,0,1,0,0,2,6,0
train,blair-l_inbox32,data/train/blair-l_inbox32.json,2,2,0,5,3,Deliver_Action_Data;Deliver_Data;Request_Action,1,3,0,1,2,0,0,2,0,1,0,0,2,6,0
train,blair-l_inbox34,data/train/blair-l_inbox34.json,3,3,0,7,6,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action;Request_Meeting,2,1,1,0,2,0,0,1,0,1,0,0,3,10,0
train,blair-l_inbox40,data/train/blair-l_inbox40.json,4,4,0,18,9,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,6,8,0,0,1,0,1,1,0,0,0,0,4,11,0
train,blair-l_inbox57,data/train/blair-l_inbox57.json,2,2,0,10,5,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,1,3,1,1,2,1,0,1,0,2,0,1,2,6,0
train,blair-l_inbox87,data/train/blair-l_inbox87.json,2,2,0,2,2,Deliver_Data,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
train,blair-l_inbox95,data/train/blair-l_inbox95.json,2,2,0,4,3,Amend_Data;Deliver_Action_Data;Deliver_Data,0,1,1,0,1,0,0,2,0,1,0,0,2,6,0
train,blair-l_inbox_114,data/train/blair-l_inbox_114.json,3,3,0,2,2,Deliver_Data;Request_Data,0,0,0,0,3,0,0,2,0,1,0,0,3,8,0
train,blair-l_inbox_130,data/train/blair-l_inbox_130.json,2,2,0,3,2,Request_Action,3,0,0,0,2,0,0,1,0,0,0,0,2,13,0
train,blair-l_inbox_158,data/train/blair-l_inbox_158.json,2,2,0,5,3,Deliver_Action_Data;Deliver_Data,0,3,0,0,1,0,1,2,0,0,0,0,2,14,0
train,blair-l_inbox_173,data/train/blair-l_inbox_173.json,3,3,0,3,3,Deliver_Data;Request_Action;Request_Data,1,0,0,0,2,1,1,2,0,0,0,2,3,11,0
train,blair-l_inbox_180,data/train/blair-l_inbox_180.json,2,2,0,10,5,Deliver_Action_Data;Request_Action;Request_Action_Data;Request_Data,1,7,0,1,2,2,0,2,0,0,0,0,2,12,0
train,blair-l_inbox_187,data/train/blair-l_inbox_187.json,4,4,0,11,7,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,2,5,0,1,1,2,0,2,0,0,1,0,4,14,0
train,blair-l_inbox_199,data/train/blair-l_inbox_199.json,2,2,0,5,1,Deliver_Action_Data,0,5,0,0,0,1,0,0,0,0,0,0,2,10,0
train,blair-l_inbox_253,data/train/blair-l_inbox_253.json,2,2,0,2,1,Deliver_Data,0,0,0,0,1,0,0,1,0,0,0,0,2,13,0
train,blair-l_inbox_255,data/train/blair-l_inbox_255.json,3,3,0,8,6,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,1,3,0,0,2,1,1,1,0,0,0,0,3,9,0
train,blair-l_inbox_261,data/train/blair-l_inbox_261.json,2,2,0,9,4,Deliver_Action_Data;Deliver_Meeting_Data,0,7,0,0,2,1,2,1,0,0,0,1,2,9,0
train,blair-l_inbox_269,data/train/blair-l_inbox_269.json,2,2,0,2,2,Deliver_Data;Request_Data,0,0,0,0,1,0,0,1,0,1,0,0,2,4,0
train,blair-l_inbox_274,data/train/blair-l_inbox_274.json,3,3,0,6,4,Deliver_Action_Data;Request_Action_Data;Request_Data,0,4,0,0,1,1,1,0,0,0,0,0,3,12,0
train,blair-l_inbox_279,data/train/blair-l_inbox_279.json,3,3,0,13,4,Deliver_Action_Data;Deliver_Meeting_Data;Request_Meeting,0,10,0,0,1,1,0,0,0,1,0,0,3,22,0
train,blair-l_inbox_284,data/train/blair-l_inbox_284.json,5,4,1,10,6,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,1,6,0,1,2,1,0,0,0,0,0,0,5,12,0
train,blair-l_inbox_30,data/train/blair-l_inbox_30.json,2,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
train,blair-l_inbox_301,data/train/blair-l_inbox_301.json,2,2,0,1,1,Request_Action_Data,0,0,0,0,1,0,0,0,0,0,0,0,2,9,0
train,blair-l_inbox_76,data/train/blair-l_inbox_76.json,2,2,0,6,4,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,1,3,0,0,2,1,0,1,1,1,0,1,2,77,0
train,buy-r_inbox10,data/train/buy-r_inbox10.json,3,3,0,5,3,Deliver_Data;Request_Action,3,0,0,0,3,1,1,1,0,0,0,0,3,32,0
train,buy-r_inbox1023,data/train/buy-r_inbox1023.json,4,3,1,6,5,Deliver_Action_Data;Deliver_Data;Request_Data;Request_Meeting,0,3,0,0,1,0,1,0,0,0,0,0,4,8,0
train,buy-r_inbox1074,data/train/buy-r_inbox1074.json,2,1,1,3,3,Deliver_Action_Data;Deliver_Data;Request_Meeting,0,1,0,0,1,0,0,1,0,0,0,0,2,9,0
train,buy-r_inbox1088,data/train/buy-r_inbox1088.json,4,4,0,8,7,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting_Data,1,1,0,0,2,2,0,3,0,1,1,0,4,20,0
train,buy-r_inbox1141,data/train/buy-r_inbox1141.json,2,2,0,11,5,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Data,0,6,0,0,2,0,0,0,0,0,0,0,2,13,0
train,buy-r_inbox1202,data/train/buy-r_inbox1202.json,2,1,1,5,2,Deliver_Action_Data;Deliver_Data,0,1,0,0,1,0,0,0,1,1,1,0,2,6,0
train,buy-r_inbox142,data/train/buy-r_inbox142.json,2,2,0,11,6,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data;Request_Meeting_Data,1,3,0,0,1,0,1,1,0,1,0,1,2,6,0
train,buy-r_inbox202,data/train/buy-r_inbox202.json,3,3,0,7,7,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Meeting_Data,0,1,0,0,3,2,0,0,0,0,0,1,3,34,0
train,buy-r_inbox252,data/train/buy-r_inbox252.json,3,3,0,3,2,Deliver_Action_Data;Request_Data,0,1,0,0,2,1,0,0,0,0,0,0,3,36,0
train,buy-r_inbox262,data/train/buy-r_inbox262.json,2,2,0,1,1,Deliver_Data,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0
train,buy-r_inbox263,data/train/buy-r_inbox263.json,2,2,0,5,3,Deliver_Action_Data;Deliver_Data,0,2,0,0,1,0,0,1,0,0,0,0,2,8,0
train,buy-r_inbox265,data/train/buy-r_inbox265.json,3,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
train,buy-r_inbox295,data/train/buy-r_inbox295.json,2,2,0,7,5,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Data,0,2,0,0,1,1,2,0,0,1,0,0,2,6,0
train,buy-r_inbox313,data/train/buy-r_inbox313.json,5,5,0,6,4,Deliver_Action_Data;Deliver_Data;Request_Action,1,2,0,0,2,1,0,1,0,0,0,0,6,24,0
train,buy-r_inbox371,data/train/buy-r_inbox371.json,4,4,0,5,5,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action_Data;Request_Data,0,1,1,0,3,2,0,1,0,1,0,0,4,8,0
train,buy-r_inbox380,data/train/buy-r_inbox380.json,2,2,0,6,5,Amend_Data;Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data,0,3,1,0,1,1,1,1,0,1,0,1,2,16,0
train,buy-r_inbox386,data/train/buy-r_inbox386.json,2,2,0,5,4,Deliver_Action_Data;Deliver_Data,0,3,0,0,2,1,0,1,0,0,0,1,2,21,0
train,buy-r_inbox396,data/train/buy-r_inbox396.json,4,4,0,20,12,Amend_Data;Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data,3,6,1,1,2,0,1,0,0,1,0,1,4,10,0
train,buy-r_inbox492,data/train/buy-r_inbox492.json,3,3,0,11,8,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data;Request_Meeting,6,1,0,0,3,0,1,0,0,0,0,2,3,7,0
train,buy-r_inbox537,data/train/buy-r_inbox537.json,2,2,0,19,3,Deliver_Action_Data;Deliver_Data,0,1,0,0,2,1,0,0,0,0,0,0,2,81,0
train,buy-r_inbox598,data/train/buy-r_inbox598.json,4,3,1,5,2,Deliver_Data;Request_Action,3,0,0,0,1,1,1,0,0,0,0,0,4,18,0
train,buy-r_inbox63,data/train/buy-r_inbox63.json,2,2,0,4,4,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,1,1,0,1,2,2,1,1,0,0,0,1,2,78,0
train,buy-r_inbox636,data/train/buy-r_inbox636.json,2,2,0,4,3,Deliver_Data;Deliver_Meeting_Data;Request_Action,2,0,0,0,1,0,1,1,0,0,0,0,2,105,0
train,buy-r_inbox678,data/train/buy-r_inbox678.json,2,2,0,6,4,Deliver_Action_Data;Deliver_Data;Request_Action,3,2,0,0,2,1,0,0,0,0,0,1,2,9,0
train,buy-r_inbox716,data/train/buy-r_inbox716.json,4,4,0,13,8,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Data,5,4,0,1,4,2,0,0,0,0,0,1,4,13,0
train,buy-r_inbox785,data/train/buy-r_inbox785.json,2,1,1,2,1,Deliver_Data,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0
train,buy-r_inbox792,data/train/buy-r_inbox792.json,2,2,0,3,3,Deliver_Data;Deliver_Meeting_Data;Request_Data,0,0,0,0,2,1,0,1,0,0,0,0,2,76,0
train,buy-r_inbox83,data/train/buy-r_inbox83.json,2,2,0,5,4,Deliver_Action_Data;Request_Action;Request_Meeting,3,1,0,0,2,0,2,0,0,0,0,0,2,6,0
train,buy-r_inbox888,data/train/buy-r_inbox888.json,2,2,0,5,4,Deliver_Action_Data;Deliver_Data;Request_Action,2,1,0,0,2,0,0,2,1,0,0,0,2,5,0
train,buy-r_inbox891,data/train/buy-r_inbox891.json,4,3,1,7,4,Amend_Data;Deliver_Action_Data;Request_Action;Request_Data,1,2,3,0,3,1,0,1,0,1,2,1,4,8,0
train,buy-r_inbox899,data/train/buy-r_inbox899.json,2,2,0,7,4,Deliver_Action_Data;Deliver_Data,0,3,0,0,2,0,0,2,0,1,0,0,2,4,0
train,buy-r_inbox90,data/train/buy-r_inbox90.json,2,2,0,5,5,Amend_Data;Deliver_Action_Data;Request_Action;Request_Data;Request_Meeting,1,1,1,0,2,0,1,1,0,0,0,0,2,6,0
train,buy-r_inbox901,data/train/buy-r_inbox901.json,2,2,0,15,3,Deliver_Action_Data;Deliver_Data;Request_Action,1,2,0,0,2,1,1,0,0,0,1,1,2,43,0
train,buy-r_inbox925,data/train/buy-r_inbox925.json,2,2,0,8,3,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action,3,4,0,0,2,1,1,1,0,0,1,0,3,16,0
train,campbell-l_inbox1027,data/train/campbell-l_inbox1027.json,2,2,0,5,4,Deliver_Action_Data;Deliver_Data;Request_Action,1,2,0,0,1,0,0,0,0,1,0,0,2,29,0
train,campbell-l_inbox1079,data/train/campbell-l_inbox1079.json,2,2,0,2,2,Deliver_Data,0,0,0,0,1,0,0,0,0,0,0,0,2,29,0
train,campbell-l_inbox1109,data/train/campbell-l_inbox1109.json,2,1,1,4,2,Deliver_Meeting_Data;Request_Action,2,0,0,0,1,0,0,0,0,0,0,0,2,31,0
train,campbell-l_inbox1370,data/train/campbell-l_inbox1370.json,2,2,0,11,7,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,4,1,0,0,2,1,0,1,0,0,1,0,2,28,0
train,campbell-l_inbox148,data/train/campbell-l_inbox148.json,2,2,0,4,3,Deliver_Action_Data;Deliver_Data;Request_Action,2,1,0,0,1,0,0,0,0,0,0,0,2,2,0
train,campbell-l_inbox231,data/train/campbell-l_inbox231.json,2,2,0,3,3,Deliver_Meeting_Data;Request_Action,2,0,0,0,2,2,0,1,1,0,0,0,2,6,0
train,campbell-l_inbox26,data/train/campbell-l_inbox26.json,4,1,3,1,1,Deliver_Action_Data,0,1,0,0,1,0,0,0,0,0,0,0,4,10,0
train,campbell-l_inbox281,data/train/campbell-l_inbox281.json,3,3,0,6,4,Amend_Data;Deliver_Data;Deliver_Meeting_Data;Request_Data,0,0,1,0,1,0,0,1,0,1,0,0,3,8,0
train,campbell-l_inbox283,data/train/campbell-l_inbox283.json,2,2,0,3,2,Deliver_Data,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0
train,campbell-l_inbox438,data/train/campbell-l_inbox438.json,2,1,1,1,1,Amend_Meeting_Data,0,0,1,0,1,0,1,0,0,0,0,1,2,3,0
train,campbell-l_inbox592,data/train/campbell-l_inbox592.json,2,1,1,2,2,Deliver_Data;Request_Action,1,0,0,0,1,0,0,1,0,1,0,0,2,15,0
train,campbell-l_inbox686,data/train/campbell-l_inbox686.json,2,2,0,5,3,Deliver_Data;Deliver_Meeting_Data;Request_Action,1,0,0,0,1,0,0,0,0,0,0,0,2,96,0
train,campbell-l_inbox729,data/train/campbell-l_inbox729.json,2,2,0,3,2,Request_Action;Request_Action_Data,1,0,0,0,1,0,0,0,0,0,1,1,2,4,0
train,campbell-l_inbox774,data/train/campbell-l_inbox774.json,2,2,0,5,4,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Meeting,2,1,0,0,1,0,0,1,0,0,0,0,2,3,0
train,campbell-l_inbox832,data/train/campbell-l_inbox832.json,2,1,1,1,1,Deliver_Action_Data,0,1,0,0,0,0,0,0,0,0,1,0,2,94,0
train,campbell-l_inbox_146,data/train/campbell-l_inbox_146.json,5,2,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,33,0
train,campbell-l_inbox_429,data/train/campbell-l_inbox_429.json,2,2,0,2,2,Deliver_Action_Data;Deliver_Data,0,1,0,0,1,0,1,0,0,0,0,0,2,5,0
train,cash-m_inbox102,data/train/cash-m_inbox102.json,2,2,0,3,3,Deliver_Action_Data;Deliver_Data;Request_Data,0,1,0,0,2,1,0,1,0,0,0,0,2,8,0
train,cash-m_inbox106,data/train/cash-m_inbox106.json,2,2,0,7,6,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,2,2,0,1,1,0,1,1,0,0,0,0,2,6,0
train,cash-m_inbox116,data/train/cash-m_inbox116.json,3,3,0,4,4,Amend_Data;Deliver_Data;Request_Action;Request_Data,1,0,1,0,2,0,1,1,1,1,0,0,3,9,0
train,cash-m_inbox133,data/train/cash-m_inbox133.json,2,2,0,3,2,Deliver_Data;Request_Action,1,0,0,0,1,0,0,1,0,0,0,0,2,211,0
train,cash-m_inbox146,data/train/cash-m_inbox146.json,5,4,1,6,5,Deliver_Data;Request_Action;Request_Action_Data,3,0,0,0,4,0,0,2,0,0,0,2,5,9,0
train,cash-m_inbox147,data/train/cash-m_inbox147.json,3,2,1,7,7,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Meeting,2,1,0,0,2,1,0,0,0,0,0,0,3,8,0
train,cash-m_inbox152,data/train/cash-m_inbox152.json,2,2,0,3,3,Deliver_Data;Request_Action,1,0,0,0,2,0,1,0,0,0,0,0,2,6,0
train,cash-m_inbox154,data/train/cash-m_inbox154.json,2,2,0,8,7,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action_Data;Request_Data,0,3,1,0,2,1,1,0,0,0,1,0,2,6,0
train,cash-m_inbox157,data/train/cash-m_inbox157.json,2,2,0,5,3,Deliver_Action_Data;Request_Action;Request_Data,1,3,0,0,0,0,0,0,0,1,0,0,2,5,0
train,cash-m_inbox159,data/train/cash-m_inbox159.json,2,2,0,4,3,Request_Action;Request_Action_Data,3,0,0,0,2,0,0,0,0,0,0,2,2,6,0
train,cash-m_inbox160,data/train/cash-m_inbox160.json,5,5,0,8,7,Amend_Data;Deliver_Action_Data;Deliver_Meeting_Data;Request_Action_Data,0,3,1,0,2,1,1,0,0,0,0,1,5,11,0
train,cash-m_inbox165,data/train/cash-m_inbox165.json,2,1,1,5,2,Deliver_Action_Data;Deliver_Data,0,2,0,0,1,0,1,0,0,0,0,1,2,50,0
train,cash-m_inbox168,data/train/cash-m_inbox168.json,2,2,0,3,3,Deliver_Data;Request_Action_Data;Request_Data,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
train,cash-m_inbox17,data/train/cash-m_inbox17.json,2,2,0,5,5,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Data,0,1,1,0,1,0,0,0,0,2,0,0,2,7,0
train,cash-m_inbox172,data/train/cash-m_inbox172.json,2,2,0,3,3,Deliver_Data;Request_Action_Data;Request_Data,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0
train,cash-m_inbox21,data/train/cash-m_inbox21.json,3,3,0,7,7,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action,1,2,3,0,2,3,1,1,0,2,0,0,3,14,0
train,cash-m_inbox218,data/train/cash-m_inbox218.json,2,2,0,3,3,Amend_Data;Deliver_Action_Data;Deliver_Data,0,1,1,0,1,1,0,0,0,1,0,0,2,8,0
train,cash-m_inbox22,data/train/cash-m_inbox22.json,4,4,0,8,8,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action,1,2,3,0,2,3,1,1,0,2,0,0,4,14,0
train,cash-m_inbox230,data/train/cash-m_inbox230.json,2,2,0,6,5,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Data,0,2,1,0,1,0,0,2,0,1,0,1,3,6,0
train,cash-m_inbox272,data/train/cash-m_inbox272.json,2,2,0,9,6,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Data,2,4,0,1,1,1,1,0,0,0,0,1,2,6,0
train,cash-m_inbox273,data/train/cash-m_inbox273.json,3,3,0,7,7,Amend_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Action_Data;Request_Data,2,0,1,0,2,0,0,0,1,1,1,1,3,9,0
train,cash-m_inbox28,data/train/cash-m_inbox28.json,2,2,0,11,5,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data,1,6,0,0,2,0,2,1,0,0,0,1,2,8,0
train,cash-m_inbox286,data/train/cash-m_inbox286.json,2,1,1,2,2,Deliver_Data;Request_Action,1,0,0,0,1,0,0,1,0,0,0,0,2,6,0
train,cash-m_inbox33,data/train/cash-m_inbox33.json,3,3,0,6,5,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,1,1,0,0,1,0,0,1,0,1,0,0,3,6,0
train,cash-m_inbox343,data/train/cash-m_inbox343.json,2,2,0,6,3,Deliver_Data;Request_Action,3,0,0,0,0,1,0,1,0,0,0,0,2,9,0
train,cash-m_inbox38,data/train/cash-m_inbox38.json,5,3,2,8,4,Deliver_Action_Data;Deliver_Data;Request_Action,4,1,0,1,3,2,0,2,0,0,0,0,5,20,0
train,cash-m_inbox39,data/train/cash-m_inbox39.json,4,3,1,3,3,Deliver_Data;Request_Action;Request_Data,1,0,0,0,2,1,0,0,0,0,1,1,4,10,0
