pilot_id,candidate_id,thread_id,split,source_path,thread_length,nonempty_turns,event_instances,event_types,request_action_instances,deliver_action_data_instances,amend_instances,lexical_indicators,raw_participant_count,selection_reasons
P011,MAILEX_CAND_011,schoolcraft-d_inbox_junk289,train,data/train/schoolcraft-d_inbox_junk289.json,3,3,15,Deliver_Action_Data;Request_Action;Request_Data,7,7,0,commitment;confirm;request,8,contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal
P012,MAILEX_CAND_012,rapp-b_inbox_397,dev,data/dev/rapp-b_inbox_397.json,5,5,12,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,6,3,0,commitment;confirm;deadline;modify;request,19,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic modify lexical signal; has deterministic confirm lexical signal
P013,MAILEX_CAND_013,blair-l_inbox40,train,data/train/blair-l_inbox40.json,4,4,18,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,6,8,0,completion;deadline;request,11,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal
P014,MAILEX_CAND_014,wolfe-j_inbox73,train,data/train/wolfe-j_inbox73.json,5,5,16,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Action_Data,3,7,0,commitment;modify;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic modify lexical signal
P015,MAILEX_CAND_015,watson-k_inbox347,train,data/train/watson-k_inbox347.json,5,5,12,Deliver_Action_Data;Request_Action;Request_Action_Data;Request_Data,3,6,0,commitment;confirm;reject;request,24,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic reject lexical signal; has deterministic confirm lexical signal
P016,MAILEX_CAND_016,buy-r_inbox716,train,data/train/buy-r_inbox716.json,4,4,13,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Data,5,4,0,commitment;confirm;request,13,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal
P017,MAILEX_CAND_017,ward-k_inbox310,train,data/train/ward-k_inbox310.json,4,4,11,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data;Request_Meeting,4,4,0,commitment;deadline;modify;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic modify lexical signal
P018,MAILEX_CAND_018,lavorato-j_inbox15,train,data/train/lavorato-j_inbox15.json,2,2,15,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action,5,9,0,commitment;confirm;modify,6,contains Request_Action; contains Deliver_Action_Data; has deterministic modify lexical signal; has deterministic confirm lexical signal
P019,MAILEX_CAND_019,hernandez-j_inbox268,train,data/train/hernandez-j_inbox268.json,4,4,17,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,4,7,0,completion;confirm;request,11,contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic confirm lexical signal
P020,MAILEX_CAND_020,mims-thurston-p_inbox272,train,data/train/mims-thurston-p_inbox272.json,2,2,13,Deliver_Action_Data;Request_Action,4,9,0,commitment;completion;reject;request,10,contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic reject lexical signal
P021,MAILEX_CAND_021,geaccone-t_inbox237,train,data/train/geaccone-t_inbox237.json,8,8,12,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Action_Data;Request_Data,3,5,0,commitment;completion;deadline;request,18,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal
P022,MAILEX_CAND_022,dasovich-j_inbox1731,test,data/test/dasovich-j_inbox1731.json,4,4,12,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,4,3,0,commitment;completion;deadline;request,25,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal
P023,MAILEX_CAND_023,ybarbo-p_inbox125,train,data/train/ybarbo-p_inbox125.json,4,4,20,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data;Request_Meeting,2,9,0,commitment;completion;deadline;modify;request,8,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic modify lexical signal
P024,MAILEX_CAND_024,kaminski-v_inbox687,train,data/train/kaminski-v_inbox687.json,4,4,14,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,2,8,0,commitment;deadline;request,7,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal
P025,MAILEX_CAND_025,mccarty-d_inbox96,train,data/train/mccarty-d_inbox96.json,4,4,17,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data;Request_Meeting;Request_Meeting_Data,2,8,0,commitment;request,10,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data
P026,MAILEX_CAND_026,campbell-l_inbox1169,test,data/test/campbell-l_inbox1169.json,3,3,14,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,1,9,0,commitment;completion;deadline;request,11,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal
P027,MAILEX_CAND_027,mclaughlin-e_inbox163,train,data/train/mclaughlin-e_inbox163.json,2,2,11,Amend_Data;Deliver_Action_Data;Deliver_Meeting_Data;Request_Action,3,6,1,commitment;completion;deadline;modify;reject;request,16,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal
P028,MAILEX_CAND_028,germany-c_inbox27,dev,data/dev/germany-c_inbox27.json,8,7,14,Deliver_Action_Data;Request_Action;Request_Action_Data;Request_Data,1,7,0,commitment;completion;confirm;request,6,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic confirm lexical signal
P029,MAILEX_CAND_029,rapp-b_inbox273,train,data/train/rapp-b_inbox273.json,5,5,13,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action,2,3,6,commitment;completion;confirm;deadline;modify;request,13,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal
P030,MAILEX_CAND_030,watson-k_inbox9,dev,data/dev/watson-k_inbox9.json,4,4,14,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Action_Data;Request_Data,4,4,0,commitment;completion;confirm;deadline;request,6,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic confirm lexical signal
P031,MAILEX_CAND_031,buy-r_inbox396,train,data/train/buy-r_inbox396.json,4,4,20,Amend_Data;Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data,3,6,1,confirm;deadline;modify;request,10,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic modify lexical signal
P032,MAILEX_CAND_032,corman-s_inbox_archives142,train,data/train/corman-s_inbox_archives142.json,3,3,11,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,3,6,0,commitment;deadline;modify;reject;request,26,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic modify lexical signal; has deterministic reject lexical signal
P033,MAILEX_CAND_033,sager-e_inbox522,train,data/train/sager-e_inbox522.json,3,3,14,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,1,9,0,commitment;completion;confirm;request,11,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic confirm lexical signal
P034,MAILEX_CAND_034,ward-k_inbox120,train,data/train/ward-k_inbox120.json,3,3,17,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,2,6,0,commitment;completion;deadline;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal
P035,MAILEX_CAND_035,heard-m_inbox_master_netting3,dev,data/dev/heard-m_inbox_master_netting3.json,2,2,16,Deliver_Action_Data;Request_Action;Request_Data,4,7,0,commitment;deadline;modify;reject;request,6,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic modify lexical signal; has deterministic reject lexical signal
P036,MAILEX_CAND_036,mims-thurston-p_inbox348,train,data/train/mims-thurston-p_inbox348.json,2,2,10,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action,3,6,0,cancel;commitment;completion;deadline;modify;request,7,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic cancel lexical signal
P037,MAILEX_CAND_037,schoolcraft-d_inbox_junk204,train,data/train/schoolcraft-d_inbox_junk204.json,2,2,12,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action,3,7,1,confirm;deadline;modify;request,36,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic modify lexical signal
P038,MAILEX_CAND_038,heard-m_inbox_48,train,data/train/heard-m_inbox_48.json,6,6,13,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data,1,6,0,commitment;confirm;request,17,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal
P039,MAILEX_CAND_039,lokey-t_inbox578,test,data/test/lokey-t_inbox578.json,4,4,12,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,3,6,0,commitment;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data
P040,MAILEX_CAND_040,keiser-k_inbox166,test,data/test/keiser-k_inbox166.json,4,4,20,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,1,9,1,commitment;completion;deadline;modify;request,8,contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic modify lexical signal
P041,MAILEX_CAND_041,watson-k_inbox440,dev,data/dev/watson-k_inbox440.json,6,6,12,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Action_Data;Request_Data,1,5,0,commitment;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data
P042,MAILEX_CAND_042,lay-k_inbox187,dev,data/dev/lay-k_inbox187.json,2,2,15,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting;Request_Meeting_Data,3,6,0,commitment;completion;deadline;modify;reject;request,29,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic modify lexical signal; has deterministic reject lexical signal
P043,MAILEX_CAND_043,lokey-t_inbox734,dev,data/dev/lokey-t_inbox734.json,2,2,13,Deliver_Action_Data,0,13,0,commitment;modify;request,15,contains Deliver_Action_Data; has deterministic modify lexical signal
P044,MAILEX_CAND_044,steffes-j_inbox386,test,data/test/steffes-j_inbox386.json,2,2,12,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data,7,2,0,completion;confirm;modify;request,38,contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic modify lexical signal; has deterministic confirm lexical signal
P045,MAILEX_CAND_045,parks-j_inbox_147,test,data/test/parks-j_inbox_147.json,7,7,7,Deliver_Action_Data;Deliver_Data;Request_Action,4,1,0,commitment;deadline;reject;request,46,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic reject lexical signal
P046,MAILEX_CAND_046,heard-m_inbox102,train,data/train/heard-m_inbox102.json,3,2,9,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,4,3,0,commitment;completion;deadline;request,9,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal
P047,MAILEX_CAND_047,nemec-g_inbox_21,train,data/train/nemec-g_inbox_21.json,3,3,11,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,4,3,0,confirm;request,7,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal
P048,MAILEX_CAND_048,blair-l_inbox_180,train,data/train/blair-l_inbox_180.json,2,2,10,Deliver_Action_Data;Request_Action;Request_Action_Data;Request_Data,1,7,0,commitment;completion;request,12,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal
P049,MAILEX_CAND_049,derrick-j_inbox111,train,data/train/derrick-j_inbox111.json,2,2,11,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,1,7,0,commitment;completion;confirm;deadline;reject;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic reject lexical signal
P050,MAILEX_CAND_050,tycholiz-b_inbox333,train,data/train/tycholiz-b_inbox333.json,2,2,12,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,2,8,0,commitment;completion;confirm;deadline;reject;request,10,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic reject lexical signal; has deterministic confirm lexical signal
