split,thread_id,source_path,thread_length,nonempty_turns,event_instances,event_types,request_action_instances,deliver_action_data_instances,amend_instances,lexical_indicators,raw_participant_count,selection_reasons,candidate_id
train,buy-r_inbox716,data/train/buy-r_inbox716.json,4,4,13,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Data,5,4,0,commitment;confirm;request,13,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal,MAILEX_CAND_016
train,ward-k_inbox310,data/train/ward-k_inbox310.json,4,4,11,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data;Request_Meeting,4,4,0,commitment;deadline;modify;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic modify lexical signal,MAILEX_CAND_017
train,lavorato-j_inbox15,data/train/lavorato-j_inbox15.json,2,2,15,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action,5,9,0,commitment;confirm;modify,6,contains Request_Action; contains Deliver_Action_Data; has deterministic modify lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_018
train,hernandez-j_inbox268,data/train/hernandez-j_inbox268.json,4,4,17,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,4,7,0,completion;confirm;request,11,contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_019
train,mims-thurston-p_inbox272,data/train/mims-thurston-p_inbox272.json,2,2,13,Deliver_Action_Data;Request_Action,4,9,0,commitment;completion;reject;request,10,contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic reject lexical signal,MAILEX_CAND_020
train,geaccone-t_inbox237,data/train/geaccone-t_inbox237.json,8,8,12,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Action_Data;Request_Data,3,5,0,commitment;completion;deadline;request,18,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_021
test,dasovich-j_inbox1731,data/test/dasovich-j_inbox1731.json,4,4,12,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,4,3,0,commitment;completion;deadline;request,25,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_022
train,ybarbo-p_inbox125,data/train/ybarbo-p_inbox125.json,4,4,20,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data;Request_Meeting,2,9,0,commitment;completion;deadline;modify;request,8,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic modify lexical signal,MAILEX_CAND_023
train,kaminski-v_inbox687,data/train/kaminski-v_inbox687.json,4,4,14,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,2,8,0,commitment;deadline;request,7,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal,MAILEX_CAND_024
train,mccarty-d_inbox96,data/train/mccarty-d_inbox96.json,4,4,17,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data;Request_Meeting;Request_Meeting_Data,2,8,0,commitment;request,10,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data,MAILEX_CAND_025
test,campbell-l_inbox1169,data/test/campbell-l_inbox1169.json,3,3,14,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,1,9,0,commitment;completion;deadline;request,11,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_026
train,mclaughlin-e_inbox163,data/train/mclaughlin-e_inbox163.json,2,2,11,Amend_Data;Deliver_Action_Data;Deliver_Meeting_Data;Request_Action,3,6,1,commitment;completion;deadline;modify;reject;request,16,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_027
dev,germany-c_inbox27,data/dev/germany-c_inbox27.json,8,7,14,Deliver_Action_Data;Request_Action;Request_Action_Data;Request_Data,1,7,0,commitment;completion;confirm;request,6,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_028
train,rapp-b_inbox273,data/train/rapp-b_inbox273.json,5,5,13,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action,2,3,6,commitment;completion;confirm;deadline;modify;request,13,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_029
dev,watson-k_inbox9,data/dev/watson-k_inbox9.json,4,4,14,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Action_Data;Request_Data,4,4,0,commitment;completion;confirm;deadline;request,6,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_030
train,buy-r_inbox396,data/train/buy-r_inbox396.json,4,4,20,Amend_Data;Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data,3,6,1,confirm;deadline;modify;request,10,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic modify lexical signal,MAILEX_CAND_031
train,corman-s_inbox_archives142,data/train/corman-s_inbox_archives142.json,3,3,11,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,3,6,0,commitment;deadline;modify;reject;request,26,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic modify lexical signal; has deterministic reject lexical signal,MAILEX_CAND_032
train,sager-e_inbox522,data/train/sager-e_inbox522.json,3,3,14,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,1,9,0,commitment;completion;confirm;request,11,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_033
train,ward-k_inbox120,data/train/ward-k_inbox120.json,3,3,17,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,2,6,0,commitment;completion;deadline;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_034
dev,heard-m_inbox_master_netting3,data/dev/heard-m_inbox_master_netting3.json,2,2,16,Deliver_Action_Data;Request_Action;Request_Data,4,7,0,commitment;deadline;modify;reject;request,6,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic modify lexical signal; has deterministic reject lexical signal,MAILEX_CAND_035
train,mims-thurston-p_inbox348,data/train/mims-thurston-p_inbox348.json,2,2,10,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action,3,6,0,cancel;commitment;completion;deadline;modify;request,7,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic cancel lexical signal,MAILEX_CAND_036
train,schoolcraft-d_inbox_junk204,data/train/schoolcraft-d_inbox_junk204.json,2,2,12,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action,3,7,1,confirm;deadline;modify;request,36,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic modify lexical signal,MAILEX_CAND_037
train,heard-m_inbox_48,data/train/heard-m_inbox_48.json,6,6,13,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data,1,6,0,commitment;confirm;request,17,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal,MAILEX_CAND_038
test,lokey-t_inbox578,data/test/lokey-t_inbox578.json,4,4,12,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,3,6,0,commitment;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data,MAILEX_CAND_039
test,keiser-k_inbox166,data/test/keiser-k_inbox166.json,4,4,20,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,1,9,1,commitment;completion;deadline;modify;request,8,contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic modify lexical signal,MAILEX_CAND_040
dev,watson-k_inbox440,data/dev/watson-k_inbox440.json,6,6,12,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Action_Data;Request_Data,1,5,0,commitment;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data,MAILEX_CAND_041
dev,lay-k_inbox187,data/dev/lay-k_inbox187.json,2,2,15,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting;Request_Meeting_Data,3,6,0,commitment;completion;deadline;modify;reject;request,29,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic modify lexical signal; has deterministic reject lexical signal,MAILEX_CAND_042
dev,lokey-t_inbox734,data/dev/lokey-t_inbox734.json,2,2,13,Deliver_Action_Data,0,13,0,commitment;modify;request,15,contains Deliver_Action_Data; has deterministic modify lexical signal,MAILEX_CAND_043
test,steffes-j_inbox386,data/test/steffes-j_inbox386.json,2,2,12,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data,7,2,0,completion;confirm;modify;request,38,contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal; has deterministic modify lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_044
test,parks-j_inbox_147,data/test/parks-j_inbox_147.json,7,7,7,Deliver_Action_Data;Deliver_Data;Request_Action,4,1,0,commitment;deadline;reject;request,46,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic reject lexical signal,MAILEX_CAND_045
train,heard-m_inbox102,data/train/heard-m_inbox102.json,3,2,9,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,4,3,0,commitment;completion;deadline;request,9,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_046
train,nemec-g_inbox_21,data/train/nemec-g_inbox_21.json,3,3,11,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,4,3,0,confirm;request,7,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal,MAILEX_CAND_047
train,blair-l_inbox_180,data/train/blair-l_inbox_180.json,2,2,10,Deliver_Action_Data;Request_Action;Request_Action_Data;Request_Data,1,7,0,commitment;completion;request,12,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal,MAILEX_CAND_048
train,derrick-j_inbox111,data/train/derrick-j_inbox111.json,2,2,11,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,1,7,0,commitment;completion;confirm;deadline;reject;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic reject lexical signal,MAILEX_CAND_049
train,tycholiz-b_inbox333,data/train/tycholiz-b_inbox333.json,2,2,12,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,2,8,0,commitment;completion;confirm;deadline;reject;request,10,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic reject lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_050
