case_id,provenance_id,origin_type,source_dataset,licence,transformation_method,source_text_newly_generated,contains_personal_information,checksum
HELD2_P4_03A,prov-held2_p4_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,2616f011366ee9ebf79044a233935fbb41392cbd70aa61d9c30ddf6fe8060ff0
HELD2_P4_03B,prov-held2_p4_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,36d539bedd1142909c5598d58e7e7cd0528c47f58433067dae337e3aac5d99bc
HELD2_P4_04A,prov-held2_p4_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,5db4e78d611f262970195f350301dd3ffe49e741ab3a0499ec1c64086923c0d4
HELD2_P4_04B,prov-held2_p4_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,8cc72a771e7e9aced71be587e89433090a47c6eeece31bfa9314a41d5a634973
HELD2_P5_01A,prov-held2_p5_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,1ee4af571ed2c7c84427e54241d5d119d0e33804d720f4761509e04f56c4690b
HELD2_P5_01B,prov-held2_p5_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,248896db2617b457ed3e991970c81c1ab62a5c8f871333831013101a0edadaf4
HELD2_P5_02A,prov-held2_p5_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,d50c923c2ab4352d401a2447b9afcd9ffd7a8050ff314d931fb5d07edb6c1def
HELD2_P5_02B,prov-held2_p5_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,6360348fd5882494822beb1275d74b5436ae3cdf1335f4a17c4e6d677107feba
HELD2_P5_03A,prov-held2_p5_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,c2f874f8824f6d184965ee04f677a1859615a2e438d3007820469743356c0dcc
HELD2_P5_03B,prov-held2_p5_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,f6f63f2f31c31ae1c2138e8124086ace1df2c466a9e47ad216ef162c2a19e7b6
HELD2_P5_04A,prov-held2_p5_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,4125d2059058cf60e304b598175b7f2e990dec8d5616dc8b24d0f8a673ae2629
HELD2_P5_04B,prov-held2_p5_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,18b1e6ca282f5648007fc6acba1be1dd385ca5f3585e350e66e68fed84da2701
