path,git_status,category,size_bytes,sha256,stage_reason
artifacts/s3_s6_candidate_integration/human_confirmation/aggregate_human_confirmation_cases.json,A,D,13816,7cc92da790b8e143eb519d681886912d568638b2082e729ee209162b06d2c0e7,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/human_confirmation/aggregate_human_confirmation_execution_evidence.csv,A,D,4348,495c996bbee0e54c21e3d20a2dcd79dd3955e21f0ad072d46b1a1c51beda957d,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/database_row_counts.json,A,D,2408,919562442af306038a9360945a6ddf9d406b36e143070574b678593f9bf2a359,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/focused_mariadb_assessment.json,A,D,26660,16ff7e0a03e01a6a216586c322bdf1103845bb29b68d8ea7540b0f40603e61f8,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/focused_sqlite_vs_mariadb.json,A,D,671,0e696eb447f07fa760152d0e2d0f05ececafaf051b4e94ce7a73eeca2dd393b8,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/full_mariadb_public_summary.json,A,D,56151,af119fbc0b978c28bdab628a75ea75d3a9595279b15e2ed152f6c7f6293d6465,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/full_sqlite_vs_mariadb.csv,A,D,33,1fb02b1037ce5e394db3376bd4213d8972babd3bf234c467ebacea95616d3d86,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/full_sqlite_vs_mariadb.json,A,D,672,663c854e139665b8f0e8c81e19ddd9548b708bdee32b473f3fc988880c4958f8,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/schema_validation.json,A,D,7089,053495498be27565e1834c57d095270161dffc25aefb0bf58a7ea41e8b1914f9,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/mariadb_compatibility_smoke/source_mutation_check.json,A,D,565,ed3a49088a193bc6d59c85dacad06139e64f12e4004fee5cc6b1c8067de8d8db,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/policy_variant_validation.json,A,D,2414,2612e6be367a1ef6d75c86a25e28d1bff1f9c5106b7aada168c8e7033a25e140,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_candidate_integration/reference_annotation_validation.json,A,D,1086,e8b0ecaeff1e2e2b44ffd0cd86d7ebf3e1fde4b09662495b10777183871c16e0,"compact validation, MariaDB, or human-confirmation evidence"
artifacts/s3_s6_freeze/S3_S6_FREEZE_FINAL_REPORT.json,A,C,7490,a68f63e81f3efee894e176c13cf7987f0a5f6dccc5814d5410cb1033d629d8aa,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact"
artifacts/s3_s6_freeze/S3_S6_FREEZE_FINAL_VALIDATION.json,A,C,1818,f3ba0253792bc4e96f69b05a153f9ef325b6229a5da5205ed8d6a952ec886f95,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact"
artifacts/s3_s6_freeze/S3_S6_FREEZE_INPUT_CONTINUITY.json,A,C,1785,11d05aacf4a5b3a21eab1d80d9c790bf92de1976b0f5fd9f73ef2c110b9c8b03,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact"
artifacts/s3_s6_freeze/S3_S6_FREEZE_PACKAGE_VALIDATION.json,A,C,1139,d87e9d3b6dbb9cc93939362783e051b33f8b1843d28864eac0b2ccc3c0eb3ec2,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact"
artifacts/s3_s6_freeze/S3_S6_journal_evaluation_v1.zip,A,C,1773979,3a5db23fddf55a007d013e09fd11ade74fcdf692847d01b0135346bdd3ddc50c,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact"
artifacts/s3_s6_freeze/S3_S6_journal_evaluation_v1.zip.sha256,A,C,98,90a369006819fb6c04ced46a9bee7c977642b68ca3a1e8ee011749aff92a0502,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact"
artifacts/s3_s6_freeze/git_finalization/FINAL_AUTHOR_REVIEWED_ARTIFACT_CHECKSUMS.json,A,D,1472,51d36d44c6494a144e7621200242fa5d9164ca57a85a1c434779b524427e3448,compact git-finalization audit evidence
artifacts/s3_s6_freeze/git_finalization/HUMAN_CONFIRMATION_SOURCE_PACKET_CHECKSUM_AUDIT.json,A,D,659,52c33af775ca26218f870f7e319f8983d14fab46492f95d82c8806a2687cb355,compact git-finalization audit evidence
artifacts/s3_s6_freeze/git_finalization/MARIADB_SELECTED_EVIDENCE_CHECKSUMS.json,A,D,2216,5b336d4b295d2b2d4d716a9af035140723b65aedc454d4fb7b61a158105e64d9,compact git-finalization audit evidence
artifacts/s3_s6_freeze/git_finalization/PRE_COMMIT_VALIDATION.json,A,D,4234,b8a2e37450ddfbfa67bfeeafdca8b31c33296eb7e510be5e703e9d324acc7bf4,compact git-finalization audit evidence
artifacts/s3_s6_freeze/git_finalization/PRE_COMMIT_WORKTREE_AUDIT.json,A,D,13339,3eb30e6c0dcc802ee26915f378ee2da059fad082d78178db2f59a7188f8d7c8e,compact git-finalization audit evidence
artifacts/s3_s6_freeze/git_finalization/STAGED_CONTENT_AUDIT.csv,A,D,11461,SELF_REFERENTIAL_OMITTED,compact git-finalization audit evidence
artifacts/s3_s6_freeze/git_finalization/STAGED_CONTENT_AUDIT.json,A,D,31917,SELF_REFERENTIAL_OMITTED,compact git-finalization audit evidence
artifacts/s3_s6_freeze/git_finalization/STAGING_PLAN.json,A,D,16599,e4f0305d436be87a54663628ee32fa41cb9487f94d276be259f8f51561f137be,compact git-finalization audit evidence
artifacts/s3_s6_freeze/git_finalization/WORKTREE_CLASSIFICATION.csv,A,D,10797,f512e22e363b4d11178da9c4be312f670741200d24198d3fd1d59f5406a2463e,compact git-finalization audit evidence
artifacts/s3_s6_freeze/s3_s6_freeze_working_tree.patch,A,C,86797,ddea9de6df43a02144f08faccf220c1fa0116279b27002157e7067ccdccdbfca,"canonical frozen S3-S6 package, checksum, or immutable freeze artifact"
backend_python/aggregate_executor.py,M,A,4999,654714180b1267f3c693dd35f7846546b6514cf66f53ed3675d1b8d2ab1bee5e,approved S3-S6 source or test integration change
backend_python/tests/test_aggregate_executor.py,M,A,9603,b8889fc0466d196c7ea98a1c17b98fc5164f7076ef14303aa2d0930ae71f0829,approved S3-S6 source or test integration change
docs/integration/HUMAN_CONFIRMATION_DECISIONS_S3_S6_AGGREGATE_FINAL.md,A,B,7232,3085dc6db7c16dc18a93b871cff1f8c63678b6fea6ac46a7d5efc91aa3d616e3,canonical S3-S6 integration/freeze documentation
docs/integration/S3_S6_AGGREGATE_HUMAN_CONFIRMATION_ORDER.md,A,B,3417,d23569033cea869c94e8c93be98260083becc07065553dc4e7a70420dbaf28e4,canonical S3-S6 integration/freeze documentation
docs/integration/S3_S6_AGGREGATE_HUMAN_CONFIRMATION_PACKET_V1.md,A,B,5880,9cda10c0edbff662fdd94e57d109f9e15574fd26fbeffc0620ce536115d1be9e,canonical S3-S6 integration/freeze documentation
docs/integration/S3_S6_EVALUATION_REPRODUCE.md,A,B,2017,e5fec1b72d4c020a88f9d48092c15ef67a1658c05ce22425f6cdde0a72a8b812,canonical S3-S6 integration/freeze documentation
docs/integration/S3_S6_FREEZE_CODE_STATE.json,A,B,4188,428745cbb23a453a9846a62e181bf5f1f012a2a4dfb5cf0fea79961109dbab0d,canonical S3-S6 integration/freeze documentation
docs/integration/S3_S6_FREEZE_NOTES_V1.md,A,B,1060,a071c0282f03937dd652e6db319d1c5a0cfe7d3325dbb71f04342b65ef8fea4b,canonical S3-S6 integration/freeze documentation
docs/integration/S3_S6_MARIADB_COMPATIBILITY_REPORT.md,A,B,9732,a97d095bbf8533436ab6dce66da1105be4e9927034a2a7aad5e561e22741a2f7,canonical S3-S6 integration/freeze documentation
evaluation/actual_pipeline_inputs.py,M,A,5630,ad69ffa37756fada0f3e8be6bc837fa4a20803b540b1704c78ed627bb82b92af,approved S3-S6 source or test integration change
evaluation/actual_pipeline_runner.py,M,A,78289,5a18f634c3ea8b52504150809de773a9140d2626e8d9a39eab202dcba8fdfe3b,approved S3-S6 source or test integration change
evaluation/external_scenario_corpus.py,M,A,45874,30a3b757aa0679ec0562522b7a7448c0e69216dd569ba8323b845f860510745c,approved S3-S6 source or test integration change
evaluation/scenario_pack.py,M,A,44506,5943789f5c876a31ec59435bf6bfcbf26001a019ee3cab67af7b926449ad5c38,approved S3-S6 source or test integration change
evaluation/tests/test_actual_pipeline.py,M,A,51379,23b667e89cbc4c57f3642550e0501af3d21704fafa9f2efc4adccf3608e12194,approved S3-S6 source or test integration change
evaluation/tests/test_external_scenario_corpus.py,M,A,15101,91502c1f75c270d34a617c515df992afa08bb97833f5e8248a7e6b857223c84f,approved S3-S6 source or test integration change
evaluation/tests/test_scenario_pack.py,M,A,11693,a48708cf26db1629a7a73b828121f68c25bc9701fff5da591ad93a81dcff552d,approved S3-S6 source or test integration change
scripts/bind_external_scenario_package.py,M,A,2086,112b68ddd37285582fb3f5cdb3cc3dfe46f34a2f07e0e89695c74692d061a3cd,approved S3-S6 source or test integration change
