Case,Configuration,Repetitions,Status,Output class stable 3/3,Reason code stable,Answer text identical,Factual-atom pass stable,Citation document set stable,Citation page set stable,Safety outcome stable,Repeated failure 3/3,One-off failure
S3-Q7,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q7,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S3-Q8,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q8,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S3-Q8,C2,3,COMPLETE,YES,YES,NO,YES,YES,NO,YES,0,0
S3-Q8,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q9,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q9,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,NO,0,1
S3-Q9,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q9,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q1,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q1,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S4B-Q1,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q1,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q2,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q2,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S4B-Q2,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q2,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q3,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q3,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q3,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q3,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q4,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q4,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S4B-Q4,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q4,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q5,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q5,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S4B-Q5,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q5,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q6,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q6,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,NO,0,1
S4B-Q6,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q6,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q7,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S4B-Q7,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S4B-Q7,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S4B-Q7,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q8,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q8,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q8,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S4B-Q8,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S5B-Q1,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q1,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S5B-Q1,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S5B-Q1,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S5B-Q2,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q2,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S5B-Q2,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S5B-Q2,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S5B-Q3,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q3,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S5B-Q3,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q3,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q4,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S5B-Q4,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S5B-Q4,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q4,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q5,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q5,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S5B-Q5,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q5,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q6,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q6,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S5B-Q6,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S5B-Q6,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q1,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S6-Q1,C1,3,COMPLETE,NO,NO,NO,NO,NO,NO,YES,0,1
S6-Q1,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S6-Q1,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S6-Q2,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q2,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S6-Q2,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q2,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q3,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q3,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S6-Q3,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q3,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q4,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q4,C1,3,COMPLETE,NO,NO,NO,YES,YES,YES,YES,0,1
S6-Q4,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S6-Q4,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S6-Q5,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q5,C1,3,COMPLETE,NO,NO,NO,YES,YES,YES,YES,0,1
S6-Q5,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q5,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q6,C0,3,COMPLETE,YES,YES,NO,YES,NO,NO,YES,0,0
S6-Q6,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S6-Q6,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S6-Q6,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
