provenance_id,case_id,pair_id,family,variant,dataset_name,seed,synthetic,source_count,created_by
prov-held3_p4_02a,HELD3_P4_02A,H3PAIR_P4_02,P4,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p4_02b,HELD3_P4_02B,H3PAIR_P4_02,P4,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p4_03a,HELD3_P4_03A,H3PAIR_P4_03,P4,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p4_03b,HELD3_P4_03B,H3PAIR_P4_03,P4,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p4_04a,HELD3_P4_04A,H3PAIR_P4_04,P4,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p4_04b,HELD3_P4_04B,H3PAIR_P4_04,P4,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p5_01a,HELD3_P5_01A,H3PAIR_P5_01,P5,A,heldout_pilot_v3,20261017,True,0,evaluation.wolala2026.generate_heldout_v3
prov-held3_p5_01b,HELD3_P5_01B,H3PAIR_P5_01,P5,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p5_02a,HELD3_P5_02A,H3PAIR_P5_02,P5,A,heldout_pilot_v3,20261017,True,0,evaluation.wolala2026.generate_heldout_v3
prov-held3_p5_02b,HELD3_P5_02B,H3PAIR_P5_02,P5,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p5_03a,HELD3_P5_03A,H3PAIR_P5_03,P5,A,heldout_pilot_v3,20261017,True,0,evaluation.wolala2026.generate_heldout_v3
prov-held3_p5_03b,HELD3_P5_03B,H3PAIR_P5_03,P5,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p5_04a,HELD3_P5_04A,H3PAIR_P5_04,P5,A,heldout_pilot_v3,20261017,True,0,evaluation.wolala2026.generate_heldout_v3
prov-held3_p5_04b,HELD3_P5_04B,H3PAIR_P5_04,P5,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
